"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_1019","Pineda Yam",1019,NA,NA,NA,40.9666666666667,3.54,65.0333333333333,3.16666666666667,0,5,8.32666666666667,3.09666666666667,25.8,19.7,20.3,9.3,2.46666666666667,NA,NA
"YAM_1020","Pineda Yam",1020,NA,NA,NA,25.9,3.5,93.8333333333333,2.3,2,15.6666666666667,3.855,1,12.2666666666667,5.46666666666667,6.76666666666667,5.23333333333333,2,NA,NA
"YAM_1021","Pineda Yam",1021,NA,NA,NA,36.9666666666667,2.84666666666667,59.8333333333333,2,0,3,9.01333333333333,3.06666666666667,24.6666666666667,17.7333333333333,17.7333333333333,8.73333333333333,2.76666666666667,NA,NA
"YAM_1022","Pineda Yam",1022,NA,NA,NA,30.1333333333333,3.53333333333333,59.8333333333333,1.96666666666667,1,12.6666666666667,1.00666666666667,1.17,13.5,6.26666666666667,5.06666666666667,4.2,1.76666666666667,NA,NA
"YAM_1023","Pineda Yam",1023,NA,NA,NA,33.2666666666667,3.14,82.4333333333333,2.33333333333333,0,28,2.13666666666667,1.51333333333333,13.2333333333333,5.8,11.4,6.93333333333333,2.63333333333333,NA,NA
"YAM_1024","Pineda Yam",1024,NA,NA,NA,36.8,3.41666666666667,59.2666666666667,3.26666666666667,0,7,3.71666666666667,2.38333333333333,28.1333333333333,15.4666666666667,19,10.3666666666667,3.4,NA,NA
"YAM_1025","Pineda Yam",1025,NA,NA,NA,40.2,3.93333333333333,59.5333333333333,2.73333333333333,0,5.66666666666667,3.22666666666667,2.38333333333333,22.9333333333333,14.6666666666667,17.0666666666667,6.53333333333333,3,NA,NA
"YAM_1026","Pineda Yam",1026,NA,NA,NA,38.7666666666667,3.24,68.4666666666667,2.36666666666667,0,7,5.32333333333333,2.13666666666667,24.7333333333333,12.6333333333333,13.8333333333333,9.03333333333333,2.5,NA,NA
"YAM_1027","Pineda Yam",1027,NA,NA,NA,28.4,2.39666666666667,71.5333333333333,1.93333333333333,1,17.6666666666667,2.46666666666667,1.61333333333333,12.2666666666667,4.1,12.0666666666667,7.13333333333333,2.6,NA,NA
"YAM_1028","Pineda Yam",1028,NA,NA,NA,37.4,6.05,96.7333333333333,2.06666666666667,0,23.3333333333333,2.98333333333333,1.63666666666667,12.4666666666667,4.56666666666667,10,6.9,2.33333333333333,NA,NA
"YAM_1029","Pineda Yam",1029,NA,NA,NA,33.4,3.83666666666667,101.433333333333,3.03333333333333,0,38.6666666666667,2.86666666666667,1.27333333333333,12,4.36666666666667,7.6,5.13333333333333,1.76666666666667,NA,NA
"YAM_1030","Pineda Yam",1030,NA,NA,NA,40.5333333333333,4.63333333333333,90.0666666666667,2.56666666666667,0,15.6666666666667,2.32,1.37333333333333,9.36666666666667,4.36666666666667,5.13333333333333,4.4,1.36666666666667,NA,NA
"YAM_1031","Pineda Yam",1031,NA,NA,NA,35.1333333333333,4.92333333333333,79.8,3.83333333333333,0,23,1.92666666666667,1.65,10.0333333333333,6.1,6,3.3,2.16666666666667,NA,NA
