"Rownames.Meanphenodata","Collector.Collection.Number","Longitude","Latitude","Altitude","Phenotypic.Group","Uncertainty","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
107,"YAM_176",-74.17615,4.21501,3508,4,0.15193970287887,-0.157469324140325,0.00879229275883949,0.327788468406341,-0.247469455290953,0.0718890695952805,0.164725496475351,-0.330638289121518,-0.197724219181786,-0.375565304658582,-0.0552414658844176,-0.236665938325783,-0.197085323421723
109,"YAM_178",-74.17615,4.21501,3508,2,0.000738009660820604,-0.518340137541768,-0.431028171358371,0.0279411614069861,-0.883830920593321,0.274837795890644,0.320311038521669,-0.0775805297583392,-0.208299325804704,0.00205152784646923,-0.0450644077703556,-0.0981730256847034,-0.0728661571188684
115,"YAM_181",-74.17569,4.21231,3519,4,0.00269942102253995,-1.66760152212597,0.656341255262841,0.0723292641010632,-0.386485894467809,-0.107774564882814,-0.107643539449275,0.437043843300141,0.247884456404065,-0.193260935947763,-0.216656117171166,-0.304819975426589,-0.178536767584504
118,"YAM_183",-74.17566,4.21224,3518,2,0.00559143125339689,0.314286515841274,0.333064997945303,-0.114103395858659,-0.00142718793944146,-0.0415584147741576,0.194382676688212,-0.0510652661014577,-0.0168976406096844,-0.11933711840692,-0.23003881819327,-0.0149710989005796,-0.275702775982252
119,"YAM_184",-74.17667,4.2061,3569,2,0.0162207080941003,-0.411124156297765,-0.0762474515626568,0.206988292772281,-0.763690928011394,0.137783018692974,0.000393522618703908,0.0240700206717869,0.0308721483006033,0.029529242783587,-0.274762059152323,-0.146705079483655,0.0578055940274385
121,"YAM_186",-74.17656,4.20625,3570,4,1.58573581534593e-05,-2.11407114145159,0.535845698139872,-0.287779011876002,-0.30317225914059,0.0755353136794691,-0.253176886517139,0.810764419519836,0.137463075105186,0.342467591842906,0.214240269944223,-0.341253412362781,0.0411103844994551
125,"YAM_190",-74.17967,4.20489,3633,2,1.70370758090232e-05,-0.233190283642881,0.375379739037491,-0.117387314500918,-0.36915274865988,0.0718161982431899,0.507772969268167,0.0267462467295861,-0.168126767101277,0.152745947552323,-0.0760593564736121,-0.0792883877477357,-0.0332900895803102
126,"YAM_191",-74.17967,4.20489,3634,2,3.80503146357736e-06,-0.597071151617326,0.531861675526116,-0.638633804355144,0.522413093635441,0.344107381100396,-0.147310253100788,-0.074835331536285,-0.245400991599679,0.154838094342704,-0.0140680302470157,0.233923974539346,0.0180169964868549
128,"YAM_193",-74.17967,4.20489,3636,2,0.203062102688811,-0.407903070613558,0.526454115661251,-0.129672854263258,0.234589258533719,0.29584678568415,-0.0975438829904466,-0.0925138114639863,0.428579136599113,0.17969351409749,-0.391553379411614,-0.0553005353475059,0.0319436786897524
130,"YAM_195",-74.17967,4.20489,3638,2,1.0991207943789e-13,-0.545020237743039,-0.206144430295949,-0.881469713287461,0.532492950940919,0.0552363831705947,0.357309864667792,0.0198883553326108,-0.51078767658221,0.219216393247746,-0.163643398078083,-0.105714830044055,-0.0187306554850481
132,"YAM_197",-74.17967,4.20489,3640,2,1.21255699703227e-07,-0.0658213438997319,-0.399424691121576,-0.854360407538737,-0.117979203609772,0.41217255798102,0.153086460713632,0.170413688577144,-0.0586340268729639,0.0880636224729347,-0.0138077545559004,0.0689422354406445,-0.0429853923432575
134,"YAM_199",-74.17967,4.20489,3642,2,0.00367512232172695,-0.35069210701981,-0.552446908924806,-1.04067680395558,0.698567511253835,0.360638308143998,0.3645837366695,0.061997767105041,0.473141395814615,-0.0628722183329068,0.183366087799302,0.0437294041152266,-0.0538847194645243
136,"YAM_201",-74.24821,4.21256,3686,5,5.73521460323079e-08,2.09903529121541,-0.585080922887894,0.312669800330226,0.49695053993569,-0.432981714073253,-0.023548800402842,0.107083732635938,0.0908864830769263,0.108558870784564,0.0353183458544361,0.196786462117908,-0.0327417959869339
139,"YAM_204",-74.2527,4.2078,3829,2,0.000464215806972645,-0.226981908635944,0.0688594885002418,0.175857947413154,0.271467765458747,-0.252135301325591,-0.00567174058283633,0.106581580099081,0.0681506539136126,-0.286676432806168,-0.0499444630396265,0.093288840083525,0.107198646170566
