"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
816,"YAM_871",2,0.0117065520097763
817,"YAM_872",2,2.52672955773914e-05
818,"YAM_873",3,6.64167837061136e-07
819,"YAM_874",2,2.09410727913806e-06
820,"YAM_875",2,0.0011549358751195
821,"YAM_876",2,7.91658819820906e-05
822,"YAM_877",5,8.67635420620516e-07
823,"YAM_878",2,0.000195377554504383
824,"YAM_879",2,3.45111272892495e-10
825,"YAM_880",2,0.0013972315752232
826,"YAM_881",2,1.86997084483664e-11
827,"YAM_882",5,7.91735864980048e-07
828,"YAM_883",5,1.09133813097628e-10
829,"YAM_884",2,3.37436726893792e-07
830,"YAM_885",2,0.000103318959338461
831,"YAM_886",2,2.07338170983284e-05
832,"YAM_887",2,1.85512524211173e-05
833,"YAM_888",2,1.59310977965177e-07
834,"YAM_889",2,4.99234986683916e-09
835,"YAM_890",5,5.31956846450132e-06
836,"YAM_891",3,0.00165599825060558
837,"YAM_892",2,0.00133130047954355
838,"YAM_893",2,0.00155139583337094
839,"YAM_894",5,0.000303353873647327
840,"YAM_895",5,4.97869772664306e-06
841,"YAM_896",2,7.33338622227464e-06
842,"YAM_897",5,1.92880580416332e-05
843,"YAM_898",5,0.00469188461363834
844,"YAM_899",5,5.50992464987132e-08
845,"YAM_900",5,7.24502379867431e-07
846,"YAM_901",5,0.000146282300933498
847,"YAM_902",2,0.00171688369501899
848,"YAM_903",2,9.43807614284253e-08
849,"YAM_904",3,0.00146310876401512
850,"YAM_905",2,0.00377554985511763
851,"YAM_906",2,0.00148884123862081
852,"YAM_907",4,0
853,"YAM_908",2,1.11375971303396e-05
854,"YAM_909",2,0.00104788001210099
867,"Vergara_8",2,4.76758454936999e-09
870,"Cuatrecasas_27070",2,0.000154490641395055
874,"Idrobo & Hernandez_2756",2,2.9692869718545e-08
877,"Cleef_8301",2,0.0489716545085742
880,"Betancur_8093",2,3.82290417193509e-05
882,"Uribe_5537",2,4.4375242935768e-07
885,"Uribe_4505",2,2.32091552677671e-05
893,"Garcia-Barriga_17193",2,0
910,"Cuatrecasas_5517",2,5.96855898038484e-13
911,"Garcia-Barriga_8103",2,1.86497484122583e-11
912,"Cuatrecasas et al_25567",2,0
913,"Uribe_2473",2,3.48728890209316e-09
916,"Humbert et al._26849",2,0
919,"Garcia-Barriga_13390",2,1.45478272428612e-07
928,"Barclay & Juajibioy_6137",5,0.00439124326637985
934,"Fernandez & Jaramillo_1486",5,1.32878930991787e-06
938,"Uribe_6786",5,2.4730123856509e-06
943,"Barclay et al._3258",5,5.02065886579528e-05
945,"Humbert et al._26904",5,8.30805919934674e-05
953,"Dugang_2965",5,7.16272141111363e-05
958,"Garcia-Barriga_17392",5,0.000299674309374498
959,"Cleff_1575",1,0.000808130824451969
961,"Cleff_1573",1,0.270914851334041
962,"Diaz et. al_2873",4,0
965,"Uribe_7033",1,4.2530055633816e-05
966,"Cuatrecasas & Jaramillo_28785",1,0.0110917613050758
967,"Cuatrecasas & Jaramillo_28789",1,0.0132770073786781
968,"Garcia-Barriga_8117",5,0.000218532089592882
970,"Uribe & Jaramillo_6895",1,0.000746239126034332
973,"Cuatrecasas_9527-A",2,1.83894752092684e-07
974,"Cuatrecasas_9527",2,0.00202196947969213
980,"Cuatrecasas & Jaramillo_25908",4,0
981,"LATP_010",3,6.0364546878855e-05
982,"LATP_009",3,5.94304355047148e-05
983,"LATP_006",3,1.8575094514417e-05
984,"LATP_011",3,2.94302437420235e-06
985,"DEG_823",5,0.0182723400678447
986,"DEG_812",5,2.11478818790134e-07
987,"DEG_808",5,5.52479626603208e-07
988,"DEG_825",5,7.29881397654175e-07
989,"DEG_822",5,0.000248179728071451
991,"DEG_819",5,1.03252745007332e-05
993,"JLMA_001",2,1.17754697069872e-05
994,"LATP_007",2,4.01994846772613e-05
995,"DEG_811",2,0.00115766230815251
996,"DEG_814",2,4.19730916689787e-12
997,"SAV_001",2,0.010644949326153
998,"DEG_824",4,0.000476274435977864
1001,"LATP_008",2,1.66311409088848e-13
1003,"DEG_863_S152",2,0.00120711548525698
1004,"DEG_840",4,0.0544134340223167
1005,"DEG_837",3,9.06709109046444e-05
1006,"DEG_833",2,8.20756081655327e-05
1007,"DEG_841",2,7.200444274158e-08
1008,"DEG_832",2,3.41025642169868e-08
1009,"DEG_842",3,7.68521881422402e-06
1010,"DEG_831",2,0.000276252103792562
1011,"DEG_835",2,1.33242410882417e-07
1012,"DEG_834",2,0.000376741968419303
1013,"DEG_846",2,0.00125549484074561
1014,"DEG_845",5,0.00114001057212632
1015,"DEG_855",5,6.37144002002543e-08
1016,"DEG_856",2,0.00235459506322344
1021,"YAM_1000",3,3.00607870975522e-05
1022,"YAM_1001",2,9.09632227918955e-06
1023,"YAM_1002",5,9.54813608844418e-07
1024,"YAM_1003",3,0.000188990631632358
1025,"YAM_1004",3,0.000461470281755472
1026,"YAM_1005",5,0.000341998118081888
1027,"YAM_1006",5,5.66973135107673e-11
1028,"YAM_1007",5,0.000120190914568163
1029,"YAM_1008",5,4.67544003512899e-10
1030,"YAM_1009",4,0
1031,"YAM_1010",2,1.26760379970392e-10
1032,"YAM_1011",2,6.31756771340974e-08
1033,"YAM_1012",5,1.2895663726864e-06
1034,"YAM_1013",5,1.48552281586944e-11
1035,"YAM_1014",3,0.0231690651928919
1036,"YAM_1015",5,7.33296562582808e-07
1037,"YAM_1016",3,2.88923605642477e-05
1038,"YAM_1017",2,0.0138116650127016
1039,"YAM_1018",2,0.481650208876497
1040,"YAM_1019",5,1.44356107512067e-07
1041,"YAM_1020",4,0.0290593839012917
1042,"YAM_1021",5,0.000163937283441329
1043,"YAM_1022",4,0.00234739544330287
1044,"YAM_1023",3,0.000628555043231671
1045,"YAM_1024",5,2.46332255704473e-08
1046,"YAM_1025",5,7.29960102341387e-06
1047,"YAM_1026",5,6.96470970340535e-07
1048,"YAM_1027",2,2.65316331458099e-05
1049,"YAM_1028",3,4.51786147085409e-05
1050,"YAM_1029",3,3.19761206708513e-05
1051,"YAM_1030",3,4.71218379749505e-06
1052,"YAM_1031",4,0.002818392251841
1053,"YAM_1032",5,1.72186709335165e-10
1054,"YAM_1033",3,0.000527662634932091
1055,"YAM_1034",3,0.000383065698042695
1056,"YAM_1035",3,4.20542115097122e-05
1057,"YAM_1036",3,0.000160332543680863
1058,"YAM_1037",3,5.35666452640138e-05
1059,"YAM_1038",3,6.07304388834384e-05
1060,"YAM_1039",3,2.10875111766873e-05
1061,"YAM_1040",3,0.000151138931543171
1062,"YAM_1041",3,0.000652145601373721
1063,"YAM_1042",4,4.21460355504166e-09
