"Collector.Collection.Number","Collector","Collection.Number","Longitude","Latitude","Altitude","Length.Lamina","Width.Lamina","Length.Synflorescence.Axis","Perimeter.Synflorescence.Axis","Number.Pairs.Sterile.Leaves.Per.Synflorescence","Number.Capitula.Per.Synflorescence","Length.Cyme.Peduncle","Diameter.Capitulum","Length.Sterile.Phyllary","Width.Sterile.Phyllary","Length.Ray.Flower.Corolla","Length.Disc.Flower.Corolla","Length.Disc.Flower.Tube","Type.Taxa","Cited.Cuatrecasas.Monograph.Taxa"
"YAM_1029","Pineda Yam",1029,NA,NA,NA,33.4,3.83666666666667,101.433333333333,3.03333333333333,0,38.6666666666667,2.86666666666667,1.27333333333333,1.2,0.436666666666667,0.76,0.513333333333333,0.176666666666667,NA,NA
"YAM_1030","Pineda Yam",1030,NA,NA,NA,40.5333333333333,4.63333333333333,90.0666666666667,2.56666666666667,0,15.6666666666667,2.32,1.37333333333333,0.936666666666667,0.436666666666667,0.513333333333333,0.44,0.136666666666667,NA,NA
"YAM_1031","Pineda Yam",1031,NA,NA,NA,35.1333333333333,4.92333333333333,79.8,3.83333333333333,0,23,1.92666666666667,1.65,1.00333333333333,0.61,0.6,0.33,0.216666666666667,NA,NA
"YAM_1032","Pineda Yam",1032,NA,NA,NA,45.4333333333333,2.66666666666667,85.0666666666667,2.9,0,6,4.02666666666667,2.55,2.04666666666667,1.60333333333333,2.04,0.966666666666667,0.28,NA,NA
"YAM_1033","Pineda Yam",1033,NA,NA,NA,43.2333333333333,4.86333333333333,117.566666666667,3.16666666666667,0,17.6666666666667,1.245,1.78666666666667,1.11,0.61,0.653333333333333,0.92,0.543333333333333,NA,NA
"YAM_1034","Pineda Yam",1034,NA,NA,NA,40,6.66666666666667,96.7333333333333,3.23333333333333,0,16,3.065,1.13166666666667,0.986666666666667,0.506666666666667,0.676666666666667,0.468333333333333,0.28,NA,NA
"YAM_1035","Pineda Yam",1035,NA,NA,NA,32.1333333333333,3.42333333333333,84.1333333333333,1.9,0,26.6666666666667,2.73333333333333,1.32,1.13333333333333,0.51,0.653333333333333,0.65,0.17,NA,NA
"YAM_1036","Pineda Yam",1036,NA,NA,NA,41.0333333333333,4.46666666666667,82.9,1.9,0,13.6666666666667,2.78,1.55,1.09,0.4,0.453333333333333,0.576666666666667,0.263333333333333,NA,NA
"YAM_1037","Pineda Yam",1037,NA,NA,NA,45.1,6.03333333333333,98.8333333333333,2.06666666666667,0,32,1.50666666666667,1.66,1.46666666666667,0.64,0.876666666666667,0.623333333333333,0.193333333333333,NA,NA
"YAM_1038","Pineda Yam",1038,NA,NA,NA,41.9666666666667,5.69666666666667,103.2,2.16666666666667,0,32.6666666666667,2.58333333333333,1.61,1.24666666666667,0.533333333333333,0.953333333333333,0.586666666666667,0.223333333333333,NA,NA
"YAM_1039","Pineda Yam",1039,NA,NA,NA,41.3,5.24666666666667,94.5,2.03333333333333,0,24,2.08,1.51666666666667,1.47333333333333,0.466666666666667,0.883333333333333,0.626666666666667,0.216666666666667,NA,NA
"YAM_1040","Pineda Yam",1040,NA,NA,NA,36.1,5.35333333333333,89.2,2.03333333333333,0,24,3.19666666666667,1.76666666666667,1.22666666666667,0.616666666666667,0.963333333333333,0.693333333333333,0.27,NA,NA
"YAM_1041","Pineda Yam",1041,NA,NA,NA,38.9,6.20666666666667,100.9,2.1,0,13,3.41,1.40333333333333,1.05,0.496666666666667,0.566666666666667,0.426666666666667,0.293333333333333,NA,NA
"YAM_1042","Pineda Yam",1042,NA,NA,NA,39.5333333333333,6.10666666666667,80.6333333333333,2.3,0,46.6666666666667,2.76333333333333,5.83,1.35,0.543333333333333,0.723333333333333,0.503333333333333,0.24,NA,NA
