"Rownames.Meanphenodata","Collector.Collection.Number","Phenotypic.Group","Uncertainty"
34,1041,7,0.118133664098984
35,1042,3,0.579593060129374
1,1002,8,9.83860709569129e-08
2,1003,4,0
3,1004,2,0.281369776885499
4,1006,4,3.19027093631519e-09
5,1007,6,0.160426656155105
6,1008,8,2.49125919893345e-09
7,1009,3,0.0822565014953198
8,1010,8,0.0134551283334479
9,1011,5,0.000240435329196154
10,1012,9,4.68966887434696e-07
11,1013,9,1.83712210999332e-08
12,1014,9,1.70773008112413e-06
13,1015,9,3.66351189384773e-08
14,1017,5,0.0068188841461182
15,1018,9,0.00417541872450622
16,1020,9,2.33041209773965e-07
17,1022,9,1.52248277252021e-06
18,1024,9,5.04375375354194e-07
19,1025,4,2.49438945054692e-08
20,1027,4,2.66728250486459e-07
21,1028,4,0.0100177440561514
22,1029,5,0.00275278751614993
23,1030,4,0.000954447770718181
24,1031,1,1.51062043337591e-05
25,1032,1,0.00029799218042792
26,1033,1,5.48305979952701e-07
27,1034,1,1.96054127599155e-07
28,1035,1,1.66127911427338e-09
29,1036,1,3.28667545512751e-07
30,1037,1,8.50387559951926e-05
31,1038,6,0.00207500682967299
32,1039,9,5.69980707076922e-09
33,1040,5,0.000953724739645834
34,1041,2,0.151682793606957
35,1042,6,0.0710588459679586
1,1002,6,0.0253662749755108
2,1003,8,0.00147829578928238
3,1004,2,0.213447753721163
4,1006,2,0.00684306140723567
5,1007,6,0.0833712294730127
6,1008,6,0.290016144449526
7,1009,8,1.38934403315361e-07
8,1010,8,1.27260081361769e-08
9,1011,2,6.64993320835805e-05
10,1012,6,0.0109258064634455
11,1013,2,0.493727957177222
12,1014,6,0.325711644032802
13,1015,6,0.00509688243016448
14,1017,6,0.0478382134200039
15,1018,8,1.52421170684924e-07
16,1020,3,0.00576564615042996
17,1022,7,0.0367130279852911
18,1024,7,0.0011923225286169
19,1025,8,1.61968751795083e-05
20,1027,8,2.51021347708047e-07
21,1028,3,0.0520524034543125
22,1029,8,3.15337927125903e-06
23,1030,8,4.79859400807081e-05
24,1031,8,2.38318920153802e-10
25,1032,8,8.06522304497292e-09
26,1033,8,0.00027294516338372
27,1034,7,0.00192369924952129
28,1035,4,0.0260980435504057
29,1036,3,0.466455135670075
30,1037,2,0.393522432812027
31,1038,6,0.000474665609052405
32,1039,6,0.439717171636094
33,1040,6,0.00349471692976255
34,1041,6,0.000599036726557034
35,1042,4,0.000123520939647959
1,1002,4,0.0182037334993012
2,1003,6,0.145590993882043
3,1004,6,0.00171125244400083
4,1006,2,0.27048020163452
5,1007,2,0.129502334997201
6,1008,2,0.000967042908651239
7,1009,2,0.0143991061742982
8,1010,2,0.00936324340964312
9,1011,9,0.0193052108023413
10,1012,2,0.00111351683253436
11,1013,9,0.183891585019904
12,1014,8,1.70538338450932e-06
13,1015,2,0.0466759443418897
14,1017,8,0.00023335876942665
15,1018,8,5.35549424807158e-08
16,1020,8,1.89524618221526e-10
17,1022,8,1.23985747240152e-05
18,1024,8,8.36132079728991e-06
19,1025,8,1.24030638093409e-07
20,1027,8,0.00013917653566986
21,1028,1,0.00063572468729467
22,1029,1,0.0118866547904292
23,1030,4,9.78381586858035e-09
24,1031,1,2.40121840114904e-05
25,1032,1,1.53556236482943e-05
26,1033,1,0.0126494164887965
27,1034,8,0.000277061156341962
28,1035,1,1.98858652475931e-05
29,1036,2,0.0277638968381755
30,1037,9,0.452048676245733
31,1038,4,2.74859868198973e-09
32,1039,5,0.0390956046190688
33,1040,5,0.00712564149344375
34,1041,5,2.91553548773527e-05
35,1042,5,1.90259252615954e-05
1,1002,8,0.00747095599849668
2,1003,8,2.28752913389307e-07
3,1004,8,2.37751113929541e-06
4,1006,8,3.34861001149989e-08
5,1007,8,0.00114989822032563
6,1008,8,0.00338237707147881
7,1009,6,0.536404690089066
8,1010,6,0.00178941068607719
9,1011,7,0.000169059755753542
10,1012,7,0.0258614314394291
11,1013,6,0.0493509516304074
12,1014,4,0.268455897308341
13,1015,2,0.24114293008553
14,1017,6,0.0240246515921122
15,1018,4,5.86047900208442e-08
16,1020,5,0.000800776455167518
17,1022,5,0.00736366315709969
18,1024,9,0.000818083817413551
19,1025,5,0.195078470670435
20,1027,5,2.5098891153319e-05
21,1028,9,0.0141559954238175
22,1029,9,1.08074743598863e-08
23,1030,9,0.000137110158849318
24,1031,9,0.00236959372242518
25,1032,8,0.000711975073252935
26,1033,8,3.06753176193553e-08
27,1034,7,0.223443266008183
28,1035,5,0.000626181972600337
29,1036,6,0.0180339945608633
30,1037,8,7.5046875458451e-07
31,1038,5,0.00747852419654027
32,1039,3,0.124940962356277
33,1040,8,0.00035717050594386
34,1041,8,1.5167240796643e-08
35,1042,8,0.000718092062297337
1,1002,8,3.74041194017849e-07
2,1003,4,0.00400483625248249
3,1004,6,0.43313002355882
4,1006,3,0.341418651404649
5,1007,8,3.23233854858662e-05
6,1008,8,3.5810676646264e-09
7,1009,5,0.014713038347137
8,1010,8,9.02441910244356e-06
9,1011,3,0.0261786935162072
10,1012,6,0.0151484341618269
11,1013,5,0.391597867618561
12,1014,8,2.46994938613021e-07
13,1015,6,0.00177118427914791
14,1017,8,0.000692733876009988
15,1018,7,0.104793829522113
16,1020,5,0.00418840620865357
17,1022,8,1.72875713744247e-10
18,1024,8,3.33123773010868e-09
19,1025,8,1.93615307120254e-08
20,1027,3,0.487002458032626
21,1028,5,0.000864880164690884
22,1029,5,0.000782721203323011
23,1030,5,0.000513694982887225
24,1031,5,0.000589632712470589
25,1032,8,1.03230091141882e-10
26,1033,5,0.019998520733439
27,1034,5,0.000976297525600467
28,1035,5,0.000512808161614586
29,1036,5,0.0432963548653039
30,1037,5,2.75584887999836e-05
31,1038,5,2.52091805753585e-05
32,1039,5,0.000138980429293722
33,1040,5,0.00575257846598676
34,1041,5,0.0349032899955453
35,1042,4,0.0835018720071972
